date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,200.0,240.0,220.0
2026-06-25,Arum,पिंडालु,Kg,के.जी.,80.0,80.0,80.0
2026-06-25,Asparagus,कुरीलो,Kg,के.जी.,300.0,350.0,325.0
2026-06-25,Banana (Malbhog),केरा (मालभोग),Dozen,दर्जन,100.0,110.0,105.0
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Black Pepper,मरिच,Kg,के.जी.,1300.0,1300.0,1300.0
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,55.0,60.0,57.5
2026-06-25,Brinjal Round,भन्टा डल्लो,Kg,के.जी.,55.0,60.0,57.5
2026-06-25,Broad Leaf Mustard,रायो साग,Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Buffalo Milk,भैसीको दुध,Litre,लिटर,95.0,100.0,97.5
2026-06-25,Butter,मखन,Kg,के.जी.,700.0,750.0,725.0
2026-06-25,Cabbage (Local),बन्दा (लोकल),Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,140.0,150.0,145.0
2026-06-25,Cardamom,अलैँची,Kg,के.जी.,2300.0,2375.0,2337.5
2026-06-25,Carrot (Nepali),गाँजर (नेपाली),Kg,के.जी.,80.0,80.0,80.0
2026-06-25,Cauliflower (Local),काउली (स्थानीय),Kg,के.जी.,50.0,55.0,52.5
2026-06-25,Chicken Meat (Broiler),कुखुराको मासु (बोईलर),Kg,के.जी.,400.0,400.0,400.0
2026-06-25,Chicken Meat (Local),कुखुराको मासु (लोकल),Kg,के.जी.,850.0,900.0,875.0
2026-06-25,Chilli Dry,सुकेको खुर्सानी,Kg,के.जी.,400.0,450.0,425.0
2026-06-25,Chilli Green (Akbare),खुर्सानी हरियो (अकबरे),Kg,के.जी.,300.0,350.0,325.0
2026-06-25,Chilli Green (Long),खुर्सानी हरियो (लाम्चो),Kg,के.जी.,80.0,90.0,85.0
2026-06-25,Christophine,स्कूस,Kg,के.जी.,20.0,30.0,25.0
2026-06-25,Churpi,छुर्पी,Kg,के.जी.,1250.0,1300.0,1275.0
2026-06-25,Cinnamon,सुकमेल,Kg,के.जी.,4200.0,4500.0,4350.0
2026-06-25,Coconut (Tender),नरिवल (काँचो),Kg,के.जी.,80.0,90.0,85.0
2026-06-25,Coriander Green,हरियो धनिया,Kg,के.जी.,180.0,200.0,190.0
2026-06-25,Cow Milk,गाईको दुध,Litre,लिटर,85.0,90.0,87.5
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,60.0,65.0,62.5
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,20.0,40.0,30.0
2026-06-25,Cumin,जिरा,Kg,के.जी.,500.0,500.0,500.0
2026-06-25,Dragon Fruit (Nepali),ड्रागन फ्रुट (नेपाली),Kg,के.जी.,300.0,350.0,325.0
2026-06-25,Fish Dry,सुकेको माछा,Kg,के.जी.,550.0,600.0,575.0
2026-06-25,Fish Fresh (Rahu),ताजा माछा (रहु),Kg,के.जी.,315.0,380.0,347.5
2026-06-25,French Bean (Local),घिउ सिमी (लोकल),Kg,के.जी.,120.0,150.0,135.0
2026-06-25,Garlic Dry (Chinese),सुकेको चाईनिज लसुन,Kg,के.जी.,180.0,190.0,185.0
2026-06-25,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,120.0,150.0,135.0
2026-06-25,Ghee,घ्यु,Kg,के.जी.,1250.0,1250.0,1250.0
2026-06-25,Ginger,अदुवा,Kg,के.जी.,100.0,125.0,112.5
2026-06-25,Goat Meat,खसीको मासु,Kg,के.जी.,1100.0,1100.0,1100.0
2026-06-25,Ground Jackfruit,भुँईकटहर,Kg,के.जी.,130.0,150.0,140.0
2026-06-25,Lime,कागती,Kg,के.जी.,100.0,115.0,107.5
2026-06-25,Litchi (Local),लिच्ची (लोकल),Kg,के.जी.,80.0,90.0,85.0
2026-06-25,Mango (Kalkatte),आँप (कलकत्ते),Kg,के.जी.,50.0,50.0,50.0
2026-06-25,Mango (Maldah),आँप (मालदह),Kg,के.जी.,60.0,65.0,62.5
2026-06-25,Mushroom (Button),च्याउ (डल्ले),Kg,के.जी.,350.0,400.0,375.0
2026-06-25,Mushroom (Kanya),च्याउ (कन्ये),Kg,के.जी.,150.0,170.0,160.0
2026-06-25,Musk Melon,खर्बुजा,Kg,के.जी.,40.0,40.0,40.0
2026-06-25,Okra,भिण्डी,Kg,के.जी.,40.0,45.0,42.5
2026-06-25,Onion Dry (Indian),प्याज सुकेको (भारतीय),Kg,के.जी.,40.0,52.0,46.0
2026-06-25,Paneer (Cheese),पनीर,Kg,के.जी.,800.0,800.0,800.0
2026-06-25,Papaya (Indian),मेवा (भारतीय),Kg,के.जी.,100.0,110.0,105.0
2026-06-25,Papaya (Nepali),मेवा (नेपाली),Kg,के.जी.,100.0,110.0,105.0
2026-06-25,Pointed Gourd (Local),परवर (लोकल),Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Pomegranate,अनार,Kg,के.जी.,280.0,320.0,300.0
2026-06-25,Pork,बंगुरको मासु,Kg,के.जी.,500.0,550.0,525.0
2026-06-25,Potato Red (Indian),आलु रातो (भारतीय),Kg,के.जी.,22.0,25.0,23.5
2026-06-25,Potato Red (Round),रातो आलु (गोलो),Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Potato White,आलु सेतो,Kg,के.जी.,20.0,22.0,21.0
2026-06-25,Pumpkin,फर्सी पाकेको,Kg,के.जी.,25.0,30.0,27.5
2026-06-25,Radish Red,मूला रातो,Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Radish White (Local),मूला सेतो (लोकल),Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Smooth Gourd,घिरौंला,Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Snake Gourd,चिचिण्डो,Kg,के.जी.,20.0,40.0,30.0
2026-06-25,Sponge Gourd,झिगूनी,Kg,के.जी.,50.0,50.0,50.0
2026-06-25,Squash (Round),फर्सी हरियो (डल्लो),Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Tomato Big (Nepali),गोलभेंडा ठुलो (नेपाली),Kg,के.जी.,35.0,45.0,40.0
2026-06-25,Turnip,सलगम,Kg,के.जी.,70.0,75.0,72.5
2026-06-25,Water Melon (Green),तर्बुजा (हरियो),Kg,के.जी.,40.0,40.0,40.0
