date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Apple(Fuji),स्याउ(फूजी),Kg,के.जी.,280.0,300.0,290.0
2026-06-25,Arum,पिंडालू,Kg,के.जी.,90.0,100.0,95.0
2026-06-25,Asparagus,कुरीलो,Kg,के.जी.,250.0,300.0,276.67
2026-06-25,Bamboo Shoot,तामा,Kg,के.जी.,140.0,160.0,150.0
2026-06-25,Banana(Malbhog),केरा(मालभोग),Dozen,दर्जन,180.0,200.0,190.0
2026-06-25,Banana(Nepali),केरा(नेपाली),Dozen,दर्जन,200.0,250.0,226.67
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,40.0,50.0,45.0
2026-06-25,Brd Leaf Mustard,रायो साग,Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,15.0,20.0,17.0
2026-06-25,Brinjal Round,भन्टा डल्लो,Kg,के.जी.,25.0,30.0,27.0
2026-06-25,Broccoli,ब्रोकाउली,Kg,के.जी.,80.0,100.0,90.0
2026-06-25,Cabbage(Local),बन्दा(लोकल),Kg,के.जी.,50.0,60.0,53.75
2026-06-25,Capsicum,भेडे खु्र्सानी,Kg,के.जी.,70.0,80.0,73.75
2026-06-25,Carrot(Local),गाजर(लोकल),Kg,के.जी.,90.0,100.0,95.0
2026-06-25,Cauli Local,काउली स्थानिय,Kg,के.जी.,100.0,120.0,113.0
2026-06-25,Celery,सेलरी,Kg,के.जी.,140.0,150.0,145.0
2026-06-25,Chilli Dry,खु्र्सानी सुकेको,Kg,के.जी.,450.0,500.0,476.67
2026-06-25,Chilli Green(Akbare),खुर्सानी हरियो(अकबरे),Kg,के.जी.,200.0,300.0,257.5
2026-06-25,Chilli Green(Bullet),खुर्सानी हरियो(बुलेट),Kg,के.जी.,25.0,30.0,27.0
2026-06-25,Chilli Green(Long),खुर्सानी हरियो(लाम्चो),Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Chilli Green(Machhe),खुर्सानी हरियो(माछे),Kg,के.जी.,40.0,50.0,45.0
