date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,250.0,260.0,255.0
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,250.0,260.0,255.0
2026-06-25,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,130.0,150.0,140.0
2026-06-25,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,130.0,150.0,140.0
2026-06-25,Arum,पिंडालु,Kg,के.जी.,70.0,80.0,75.0
2026-06-25,Arum,पिंडालु,Kg,के.जी.,70.0,80.0,75.0
2026-06-25,Banana (Green),केरा (हरियो),Dozen,दर्जन,90.0,100.0,95.0
2026-06-25,Banana (Green),केरा (हरियो),Dozen,दर्जन,90.0,100.0,95.0
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,40.0,50.0,45.0
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,40.0,50.0,45.0
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,10.0,15.0,12.5
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,10.0,15.0,12.5
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Brinjal Round,भन्टा डल्लो,Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Brinjal Round,भन्टा डल्लो,Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Broad Leaf Mustard,रायो साग,Kg,के.जी.,90.0,100.0,95.0
2026-06-25,Broad Leaf Mustard,रायो साग,Kg,के.जी.,90.0,100.0,95.0
2026-06-25,Cabbage (Coconut),बन्दा (नरिवल),Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Cabbage (Coconut),बन्दा (नरिवल),Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,100.0,130.0,115.0
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,100.0,130.0,115.0
2026-06-25,Carrot (Terai),गाँजर (तराई),Kg,के.जी.,60.0,70.0,65.0
2026-06-25,Carrot (Terai),गाँजर (तराई),Kg,के.जी.,60.0,70.0,65.0
2026-06-25,Cauliflower Local (Jyapu),काउली स्थानीय (ज्यापू),Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Cauliflower Local (Jyapu),काउली स्थानीय (ज्यापू),Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,70.0,80.0,75.0
2026-06-25,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,70.0,80.0,75.0
2026-06-25,Chilli Green (Long),खुर्सानी हरियो (लाम्चो),Kg,के.जी.,120.0,130.0,125.0
2026-06-25,Chilli Green (Long),खुर्सानी हरियो (लाम्चो),Kg,के.जी.,120.0,130.0,125.0
2026-06-25,Coconut (Tender),नरिवल (काँचो),Kg,के.जी.,70.0,75.0,72.5
2026-06-25,Coconut (Tender),नरिवल (काँचो),Kg,के.जी.,70.0,75.0,72.5
2026-06-25,Coriander Green,हरियो धनिया,Kg,के.जी.,100.0,150.0,125.0
2026-06-25,Coriander Green,हरियो धनिया,Kg,के.जी.,100.0,150.0,125.0
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,45.0,50.0,47.5
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,45.0,50.0,47.5
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,70.0,75.0,72.5
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,70.0,75.0,72.5
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,45.0,50.0,47.5
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,45.0,50.0,47.5
2026-06-25,French Bean (Local),घिउ सिमी (लोकल),Kg,के.जी.,60.0,70.0,65.0
2026-06-25,French Bean (Local),घिउ सिमी (लोकल),Kg,के.जी.,60.0,70.0,65.0
