date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,280.0,320.0,300.0
2026-06-25,Banana (Green),केरा (हरियो),Dozen,दर्जन,90.0,120.0,105.0
2026-06-25,Banana (Malbhog),केरा (मालभोग),Dozen,दर्जन,144.0,180.0,162.0
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,20.0,30.0,25.0
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Broad Leaf Mustard,रायो साग,Kg,के.जी.,50.0,60.0,55.0
2026-06-25,Cabbage (Local),बन्दा (लोकल),Kg,के.जी.,45.0,52.0,48.5
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,135.0,145.0,140.0
2026-06-25,Carrot (Nepali),गाँजर (नेपाली),Kg,के.जी.,80.0,95.0,87.5
2026-06-25,Cauliflower (Local),काउली (स्थानीय),Kg,के.जी.,105.0,110.0,107.5
2026-06-25,Chicken Meat (Broiler),कुखुराको मासु (बोईलर),Kg,के.जी.,380.0,400.0,390.0
2026-06-25,Chicken Meat (Local),कुखुराको मासु (लोकल),Kg,के.जी.,890.0,900.0,895.0
2026-06-25,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,95.0,105.0,100.0
2026-06-25,Coriander Green,हरियो धनिया,Kg,के.जी.,155.0,165.0,160.0
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,20.0,25.0,22.5
2026-06-25,Cucumber (Hybrid),काँक्रो (हाइब्रिड),Kg,के.जी.,10.0,20.0,15.0
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,80.0,85.0,82.5
2026-06-25,Dragon Fruit (Nepali),ड्रागन फ्रुट (नेपाली),Kg,के.जी.,450.0,500.0,475.0
2026-06-25,Fish Fresh (Chhadi),ताजा माछा (छडी),Kg,के.जी.,300.0,330.0,315.0
2026-06-25,Fish Fresh (Rahu),ताजा माछा (रहु),Kg,के.जी.,340.0,400.0,370.0
2026-06-25,French Bean (Hybrid),घिउ सिमी (हाइब्रिड),Kg,के.जी.,55.0,60.0,57.5
2026-06-25,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,220.0,230.0,225.0
2026-06-25,Ginger,अदुवा,Kg,के.जी.,155.0,160.0,157.5
2026-06-25,Goat Meat,खसीको मासु,Kg,के.जी.,1090.0,1100.0,1095.0
2026-06-25,King Oyster Mushroom,राजा च्याउ,Kg,के.जी.,375.0,400.0,387.5
2026-06-25,Mango (Dushari),आँप (दसहरी),Kg,के.जी.,100.0,130.0,115.0
2026-06-25,Mango (Maldah),आँप (मालदह),Kg,के.जी.,70.0,100.0,85.0
2026-06-25,Mushroom (Button),च्याउ (डल्ले),Kg,के.जी.,375.0,400.0,387.5
2026-06-25,Mushroom (Kanya),च्याउ (कन्ये),Kg,के.जी.,185.0,200.0,192.5
2026-06-25,Musk Melon,खर्बुजा,Kg,के.जी.,40.0,55.0,47.5
2026-06-25,Neuro (Fiddlehead Fern),न्यूरो,Kg,के.जी.,35.0,45.0,40.0
2026-06-25,Okra,भिण्डी,Kg,के.जी.,30.0,35.0,32.5
2026-06-25,Onion Dry (Indian),प्याज सुकेको (भारतीय),Kg,के.जी.,45.0,51.0,48.0
2026-06-25,Pointed Gourd (Local),परवर (लोकल),Kg,के.जी.,30.0,40.0,35.0
2026-06-25,Pork,बंगुरको मासु,Kg,के.जी.,500.0,540.0,520.0
2026-06-25,Potato Red (Indian),आलु रातो (भारतीय),Kg,के.जी.,27.0,30.0,28.5
2026-06-25,Radish White (Hybrid),मूला सेतो (हाइब्रिड),Kg,के.जी.,28.0,33.0,30.5
2026-06-25,Smooth Gourd,घिरौंला,Kg,के.जी.,25.0,30.0,27.5
2026-06-25,Sugarbeet,चुकन्दर,Kg,के.जी.,75.0,80.0,77.5
2026-06-25,Tomato Big (Nepali),गोलभेंडा ठुलो (नेपाली),Kg,के.जी.,31.0,35.0,33.0
